id,alpacaId,name,currency,races,xp,earnings,fees,entryFees,withdraws,bets,pnl,createdAt,updatedAt,wallet,normalized_pnl,normalized_xp,xp_rank,pnl_rank,xp_reward
4611,861e206a-9208-4e89-9fd6-f383ee7c17cd,Almighty Alpaca #890,DFL,226,69444,386350000000000,280500000000000,280500000000000,0,0,105850000000000,{},{},7bWG2TRVuHM8iT7db3xSxhHKgu4sPBKzwzqS7r7mW6n1,0.4883146581,0.3094990098,19,24,115
251,1482bfca-f585-49e8-9cc2-87b89f494d6a,Almighty Alpaca #864,DFL,193,68315,449950000000000,476000000000000,476000000000000,0,0,-26050000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.3676652184,0.3044520043,20,728,115
1890,1f96d23b-ec00-42ce-a5e5-97cae75d6e45,Almighty Alpaca #3041,DFL,169,67423,453425000000000,322500000000000,322500000000000,0,0,130925000000000,{},{},13EX6iEHfyCKFgYacaBkKNs56JJ4dFJXfgyKBv1f1wMk,0.5112508575,0.3004644676,21,19,115
60,fc17ec0b-c5a0-430e-8cff-937f2afbd705,Almighty Alpaca #1493,DFL,181,66940,392025000000000,366500000000000,366500000000000,0,0,25525000000000,{},{},8b1pYZ6toLuXngRXYphWLw6MYMZmK2cJLJBzyzbyhGEJ,0.4148410702,0.2983052969,22,63,115
9343,fe1cdeaa-d28a-4855-bdff-c9d4565698da,Almighty Alpaca #2632,DFL,200,66936,437350000000000,350500000000000,350500000000000,0,0,86850000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.4709352847,0.2982874156,23,28,115
581,60da175a-fbb2-487f-8b5b-047b5811cc86,Almighty Alpaca #2309,DFL,163,66397,536400000000000,582000000000000,582000000000000,0,0,-45600000000000,{},{},CgFS6TLv6dkYmFttkHYDKi2NMqvBaMqe9QREiWixxuRo,0.3497827578,0.2958779063,24,788,115
377,ca03414e-498a-4f2c-9c16-2b7d3f75f337,Almighty Alpaca #615,DFL,227,62332,203925000000000,330500000000000,330500000000000,0,0,-126575000000000,{},{},2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,0.2757146124,0.2777060041,25,845,115
125,83f40c94-23e1-41e9-a502-f8f40ac1f90c,Almighty Alpaca #2552,DFL,108,62013,549750000000000,284000000000000,284000000000000,0,0,265750000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.6345758061,0.276279968,26,8,115
159,095f9ebb-33d4-4abf-ad12-7f183201ed15,Almighty Alpaca #246,DFL,118,60296,463925000000000,254000000000000,254000000000000,0,0,209925000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.5835124628,0.2686044069,27,11,115
5,106cb88a-93c5-47a8-a7a2-1ea99b77ebc7,Almighty Alpaca #37,DFL,270,59870,264275000000000,596500000000000,596500000000000,0,0,-332225000000000,{},{},CM8PWG9RsC6DfPauGruCvThss1M5GPRdrsb2HXRnGyYc,0.08760576263,0.2667000452,28,864,115
5400,475fae33-7ac6-45aa-88a9-7d688c7f9bb4,Almighty Alpaca #2602,DFL,192,59298,455025000000000,416000000000000,416000000000000,0,0,39025000000000,{},{},8by2YcreV6F5EamV7U3vFW9pS9p5cH4vZqMiRCY37bAA,0.4271895724,0.2641430149,29,49,115
592,e4ba3fa1-3e76-4842-9baa-21221a3db927,Almighty Alpaca #643,DFL,160,58869,463425000000000,515500000000000,515500000000000,0,0,-52075000000000,{},{},CgFS6TLv6dkYmFttkHYDKi2NMqvBaMqe9QREiWixxuRo,0.3438600503,0.2622252422,30,799,115
153,620ce87c-81a7-4b13-a4ef-9648ac0a6800,Almighty Alpaca #767,DFL,146,57579,480650000000000,522500000000000,522500000000000,0,0,-41850000000000,{},{},CgFS6TLv6dkYmFttkHYDKi2NMqvBaMqe9QREiWixxuRo,0.3532128973,0.2564585131,31,783,115
71,6ba98482-058d-46dd-938c-9576b4bb1a8c,Almighty Alpaca #3691,DFL,149,56827,410625000000000,508000000000000,508000000000000,0,0,-97375000000000,{},{},3xCUAK2PWFSUKJELMod5CqqneDJPdxd7bw5omehFQKna,0.3024239652,0.2530968229,32,833,115
520,ee664920-d067-4349-816a-b9f99ba6ac5b,Almighty Alpaca #2422,DFL,156,54964,232000000000000,207000000000000,207000000000000,0,0,25000000000000,{},{},2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,0.4143608507,0.2447685932,33,65,115
4,0b5d2468-e75c-4b18-999d-bc66d3af96b8,Almighty Alpaca #756,DFL,198,54867,443600000000000,651500000000000,651500000000000,0,0,-207900000000000,{},{},CM8PWG9RsC6DfPauGruCvThss1M5GPRdrsb2HXRnGyYc,0.2013263206,0.244334971,34,858,115
70,0fded643-ac2b-410b-8f19-1aa91a1801be,Almighty Alpaca #421,DFL,150,54073,364250000000000,541000000000000,541000000000000,0,0,-176750000000000,{},{},3xCUAK2PWFSUKJELMod5CqqneDJPdxd7bw5omehFQKna,0.229819346,0.2407855269,35,852,115
949,1fbb95aa-2a3a-4eb3-ad7a-0d4d8cdb43bc,Almighty Alpaca #2770,DFL,320,51945,132500000000000,560500000000000,560500000000000,0,0,-428000000000000,{},{},4AXGb5Gp1h8wbeW8efZH45G3YW42qC9yWmmby3GVg2YQ,0,0.231272659,36,865,115
169,05e4ef35-fd55-43d1-88ce-8f560cc992c6,Almighty Alpaca #1294,DFL,159,51805,264925000000000,263500000000000,263500000000000,0,0,1425000000000,{},{},8Qf1MFFtQ2esvTSNcD2uM33Dq8WdtGSGxfQH9TQPTcVc,0.3927967071,0.2306468124,37,168,115
11,fefdc556-4ec1-422d-9828-eac6d4233954,Almighty Alpaca #1004,DFL,211,51753,318175000000000,507000000000000,507000000000000,0,0,-188825000000000,{},{},CM8PWG9RsC6DfPauGruCvThss1M5GPRdrsb2HXRnGyYc,0.2187742968,0.2304143551,38,855,115
181,9a7a138e-cf22-4298-8f6e-870d2fded1bb,Almighty Alpaca #2244,DFL,101,50979,397575000000000,219000000000000,219000000000000,0,0,178575000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.5548364967,0.2269543177,39,13,115
2501,41e290fa-9427-4993-8795-53690871fe78,Almighty Alpaca #2262,DFL,118,49188,332625000000000,271000000000000,271000000000000,0,0,61625000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.4478618797,0.2189479519,40,38,115
423,c0609c23-1e6b-49bf-9070-d15aaf36dd21,Almighty Alpaca #2471,DFL,171,48996,224200000000000,211500000000000,211500000000000,0,0,12700000000000,{},{},7bWG2TRVuHM8iT7db3xSxhHKgu4sPBKzwzqS7r7mW6n1,0.4031099931,0.2180896481,41,104,115
223,828d74fa-8cb6-4e89-9b8e-408d3e221310,Almighty Alpaca #760,DFL,94,48105,440850000000000,560000000000000,560000000000000,0,0,-119150000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.2825062886,0.2141065817,42,841,115
68,533dc911-b206-4071-9051-2227222b0f5f,Almighty Alpaca #3334,DFL,217,46953,234300000000000,480000000000000,480000000000000,0,0,-245700000000000,{},{},CM8PWG9RsC6DfPauGruCvThss1M5GPRdrsb2HXRnGyYc,0.1667505145,0.2089567585,43,862,115
276,5d050dd3-2f85-44c5-bcb9-723a7f3e7e05,Almighty Alpaca #3546,DFL,105,46828,326900000000000,257500000000000,257500000000000,0,0,69400000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.4549737023,0.2083979669,44,33,115
11439,7a837ad0-1082-4db7-80c5-d460866af7df,Almighty Alpaca #2168,DFL,169,44677,194500000000000,260000000000000,260000000000000,0,0,-65500000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.3315801509,0.1987822814,45,810,115
551,40baf489-ef97-45bc-8382-fb793ab57fd5,Almighty Alpaca #2215,DFL,137,43601,390825000000000,490000000000000,490000000000000,0,0,-99175000000000,{},{},CgFS6TLv6dkYmFttkHYDKi2NMqvBaMqe9QREiWixxuRo,0.3007774983,0.1939722035,46,834,115
239,2ca261b0-d40c-4092-ab3f-a7b43ba3c666,Almighty Alpaca #3346,DFL,160,43261,182350000000000,279500000000000,279500000000000,0,0,-97150000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.3026297736,0.1924522904,47,832,115
73,1ef59666-f060-440c-b539-450b9e89796a,Almighty Alpaca #943,DFL,125,43234,288975000000000,202000000000000,202000000000000,0,0,86975000000000,{},{},DRsUxApH5EghdPfvV4kHYcMvXZqQmMHCpvg5FCPAswYd,0.4710496227,0.1923315914,48,27,115
1996,b97552e0-6098-4cc9-b331-0af63f492244,Almighty Alpaca #2252,DFL,154,43147,221675000000000,222500000000000,222500000000000,0,0,-825000000000,{},{},7bWG2TRVuHM8iT7db3xSxhHKgu4sPBKzwzqS7r7mW6n1,0.3907386234,0.1919426725,49,209,115
868,a197d39a-c7f9-4dc9-ae3f-a98b3fdda1a0,Almighty Alpaca #3562,DFL,98,43127,340600000000000,251500000000000,251500000000000,0,0,89100000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.4729933684,0.1918532658,50,25,115
829,eaf782b4-10d6-4a2c-86f0-b9a5c2da66e4,Almighty Alpaca #1723,DFL,122,42250,206150000000000,175500000000000,175500000000000,0,0,30650000000000,{},{},Enfe9Zh3fnw3U2qcQCJZun4YjVAF9kycrSorEJmPbBZZ,0.4195289275,0.1879327841,51,55,69
427,ad95fb35-10bb-4905-88f6-3cdea531cf40,Almighty Alpaca #544,DFL,132,41693,169350000000000,186500000000000,186500000000000,0,0,-17150000000000,{},{},2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,0.3758060828,0.1854428088,52,667,69
40,27727a99-a721-4574-ba96-51b8475a0ef7,Almighty Alpaca #67,DFL,156,41516,253500000000000,336500000000000,336500000000000,0,0,-83000000000000,{},{},CM8PWG9RsC6DfPauGruCvThss1M5GPRdrsb2HXRnGyYc,0.3155728333,0.1846515599,53,818,69
45,c535e731-dc47-4a4a-85df-1f2ce2e01751,Almighty Alpaca #3478,DFL,177,41478,154975000000000,252000000000000,252000000000000,0,0,-97025000000000,{},{},4Lvp2fTYa4rZRLvUqMzshbNndN3shBurSziGzLvvK2oc,0.3027441116,0.1844816873,54,831,69
554,51387fdf-a084-4b2d-9c17-0b86a4487e53,Almighty Alpaca #1915,DFL,112,41454,404525000000000,373000000000000,373000000000000,0,0,31525000000000,{},{},CgFS6TLv6dkYmFttkHYDKi2NMqvBaMqe9QREiWixxuRo,0.4203292934,0.1843743993,55,54,69
484,ee6fd585-21a2-4185-8c92-860fe703267c,Almighty Alpaca #2298,DFL,121,40993,189250000000000,180000000000000,180000000000000,0,0,9250000000000,{},{},2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,0.3999542648,0.182313576,56,120,69
510,19f99358-6f14-445f-9f66-23a425eabcf0,Almighty Alpaca #1335,DFL,111,40741,260250000000000,351000000000000,351000000000000,0,0,-90750000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.3084838783,0.1811870521,57,825,69
358,e2e4573e-802a-42e4-b769-69a2079b5db3,Almighty Alpaca #819,DFL,119,40715,288600000000000,389500000000000,389500000000000,0,0,-100900000000000,{},{},CgFS6TLv6dkYmFttkHYDKi2NMqvBaMqe9QREiWixxuRo,0.2991996341,0.1810708235,58,837,69
533,ccd72bd1-34d3-47ca-bf37-d434921ecda3,Almighty Alpaca #2505,DFL,141,40588,324125000000000,503000000000000,503000000000000,0,0,-178875000000000,{},{},CgFS6TLv6dkYmFttkHYDKi2NMqvBaMqe9QREiWixxuRo,0.2278756003,0.1805030912,59,853,69
10392,937298af-0225-479a-9049-b9b89a0d05e4,Almighty Alpaca #3069,DFL,125,40411,155175000000000,142500000000000,142500000000000,0,0,12675000000000,{},{},Bi3nbDPZAWoemq3n9n5sQdRkCE2LWQpgDpUukUfd6VM8,0.4030871255,0.1797118424,60,105,69
5957,e88883af-4196-41c4-b7c1-3195dd97f0dd,Almighty Alpaca #1840,DFL,121,39891,218800000000000,169500000000000,169500000000000,0,0,49300000000000,{},{},Enfe9Zh3fnw3U2qcQCJZun4YjVAF9kycrSorEJmPbBZZ,0.4365881546,0.1773872694,61,45,69
2733,92205bb1-80a3-4a6e-866e-35060cdfda11,Almighty Alpaca #140,DFL,137,39324,182100000000000,178500000000000,178500000000000,0,0,3600000000000,{},{},7bWG2TRVuHM8iT7db3xSxhHKgu4sPBKzwzqS7r7mW6n1,0.394786188,0.1748525908,62,149,69
2,6be14f57-41a1-47b2-856d-7daf237ac19f,Almighty Alpaca #2327,DFL,174,38659,186825000000000,395500000000000,395500000000000,0,0,-208675000000000,{},{},CM8PWG9RsC6DfPauGruCvThss1M5GPRdrsb2HXRnGyYc,0.2006174251,0.1718798196,63,860,69
12892,1b03106a-bf24-41c6-b992-e48a916a6d1c,Almighty Alpaca #2424,DFL,184,37806,103575000000000,190000000000000,190000000000000,0,0,-86425000000000,{},{},S9R8MAvnSm6LnBRjZQtA5LEC9gKqHqYFJ2ecbt8sqwC,0.3124399726,0.1680666258,64,821,69
189,5d0ef493-9bab-4a4d-bb27-e43d2ae3d4ec,Almighty Alpaca #1814,DFL,74,37354,309900000000000,183000000000000,183000000000000,0,0,126900000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.5075691745,0.1660460355,65,20,69
207,feeb2033-9e8c-481d-bbb4-3cc918f30c4f,Almighty Alpaca #3231,DFL,82,36923,266775000000000,190500000000000,190500000000000,0,0,76275000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.4612622913,0.1641193221,66,31,69
6273,6213dac7-7aa6-4059-9846-d6e97501076f,Almighty Alpaca #3520,DFL,111,36163,130650000000000,118500000000000,118500000000000,0,0,12150000000000,{},{},EbnzVAhHUzWYvP3u8iTKDCFYkgY3iWn9bXBssWStxD4,0.402606906,0.1607218693,67,109,69
675,0636d660-8a32-4c2a-b6eb-fb6e3bdad4e9,Almighty Alpaca #553,DFL,63,36095,286475000000000,143000000000000,143000000000000,0,0,143475000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.522730391,0.1604178867,68,15,69
645,62c0e428-2366-404f-81bf-d92953d2ac8e,Almighty Alpaca #2877,DFL,68,35706,304450000000000,168000000000000,168000000000000,0,0,136450000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.5163045964,0.1586789273,69,18,69
67,674c6d8f-314d-42c4-975a-6c4498e92a27,Almighty Alpaca #1940,DFL,67,34808,244400000000000,260500000000000,260500000000000,0,0,-16100000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.3767665218,0.1546645686,70,655,69
16751,5893d1e2-c882-4d83-9b95-8a7e1a026bc3,Almighty Alpaca #3725,DFL,117,34790,182150000000000,168000000000000,168000000000000,0,0,14150000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.4044363137,0.1545841026,71,95,69
1082,0c085a75-40c9-421a-95ab-d9c50bdf45fb,Almighty Alpaca #3263,DFL,113,34520,189725000000000,149500000000000,149500000000000,0,0,40225000000000,{},{},FXiUDdGNMdSDEPcFbjzWUCXUMKT9Ai9hgfuBKeoiQN3g,0.428287217,0.1533771128,72,47,69
562,7996328c-cae3-4bd2-8d13-b19788717cf6,Almighty Alpaca #515,DFL,67,34214,321475000000000,180500000000000,180500000000000,0,0,140975000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.5204436314,0.152009191,73,16,69
5464,4748f4c9-2e89-4bc7-95ce-1de29286de8a,Almighty Alpaca #892,DFL,154,33992,154375000000000,254500000000000,254500000000000,0,0,-100125000000000,{},{},8by2YcreV6F5EamV7U3vFW9pS9p5cH4vZqMiRCY37bAA,0.2999085296,0.1510167772,74,836,69
430,efaf4bf0-f4e4-4600-9914-6464f980267c,Almighty Alpaca #3450,DFL,84,33904,296050000000000,343500000000000,343500000000000,0,0,-47450000000000,{},{},3xCUAK2PWFSUKJELMod5CqqneDJPdxd7bw5omehFQKna,0.3480905557,0.1506233879,75,792,69
1128,07f9a237-42f9-4813-bb4a-cdf607c34cb8,Almighty Alpaca #3422,DFL,80,33657,383025000000000,371500000000000,371500000000000,0,0,11525000000000,{},{},CgFS6TLv6dkYmFttkHYDKi2NMqvBaMqe9QREiWixxuRo,0.4020352161,0.1495192157,76,112,69
393,bca4c98c-37d9-4053-8570-830448a76584,Almighty Alpaca #3322,DFL,113,33139,153700000000000,143000000000000,143000000000000,0,0,10700000000000,{},{},7bWG2TRVuHM8iT7db3xSxhHKgu4sPBKzwzqS7r7mW6n1,0.4012805854,0.1472035834,77,116,69
1126,1caca65d-7d03-4f13-a0a5-5f6062eeace0,Almighty Alpaca #1018,DFL,67,33111,400200000000000,343500000000000,343500000000000,0,0,56700000000000,{},{},3xCUAK2PWFSUKJELMod5CqqneDJPdxd7bw5omehFQKna,0.4433569632,0.1470784141,78,40,69
1204,8a781359-519a-4d97-9179-0bbbe2d6840f,Almighty Alpaca #1229,DFL,96,32661,208350000000000,219000000000000,219000000000000,0,0,-10650000000000,{},{},3mKPQm6Re2WHx5CVBMwCvN4GkAu52EHuTVeYgnJnJaHJ,0.3817516579,0.1450667644,79,556,69
15880,6458e755-708b-4a91-a36a-59ad2cb688bf,Almighty Alpaca #1056,DFL,109,32634,188375000000000,160500000000000,160500000000000,0,0,27875000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.4169906243,0.1449460654,80,59,69
434,06951364-592f-4091-9460-d092d355cc6f,Almighty Alpaca #2521,DFL,114,32495,241975000000000,412000000000000,412000000000000,0,0,-170025000000000,{},{},3xCUAK2PWFSUKJELMod5CqqneDJPdxd7bw5omehFQKna,0.2359707295,0.1443246892,81,850,69
79,d998bc7c-e5e2-4bcb-8a90-53516bcb715d,Almighty Alpaca #1346,DFL,106,32315,141700000000000,237500000000000,237500000000000,0,0,-95800000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.3038646238,0.1435200293,82,830,69
155,d44177a8-72a1-4899-b490-159b4fa0f338,Almighty Alpaca #3354,DFL,118,32281,173475000000000,297500000000000,297500000000000,0,0,-124025000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.2780471072,0.143368038,83,844,69
2693,0cfc7d93-f578-4c17-9f18-46bd9f99bad6,Almighty Alpaca #403,DFL,105,31973,126925000000000,114000000000000,114000000000000,0,0,12925000000000,{},{},HzukfVz8CT3NE1APRfMaBs73bqDPz3EPCvRaK6tGhx8Y,0.4033158015,0.1419911756,84,103,69
80,203172ac-dbad-45f0-a2a0-4bfa72c93c9a,Almighty Alpaca #2817,DFL,84,31876,150450000000000,140000000000000,140000000000000,0,0,10450000000000,{},{},13EX6iEHfyCKFgYacaBkKNs56JJ4dFJXfgyKBv1f1wMk,0.4010519094,0.1415575533,85,117,69
28376,e5d0ddd3-067d-4960-89c0-f3b06c022917,Almighty Alpaca #3028,DFL,100,31839,172550000000000,133000000000000,133000000000000,0,0,39550000000000,{},{},7bWG2TRVuHM8iT7db3xSxhHKgu4sPBKzwzqS7r7mW6n1,0.4276697919,0.141392151,86,48,69
1808,f6328f4f-e21a-4ced-b210-f444cc25870d,Almighty Alpaca #2962,DFL,83,31491,176700000000000,140000000000000,140000000000000,0,0,36700000000000,{},{},BYWUThP5brDmZQhK4tqw7nPUTPaUV2iq9ZAmRvSekjMH,0.4250628859,0.1398364752,87,51,69
2900,98355308-0502-4656-84a6-8f3b49837b1b,Almighty Alpaca #3226,DFL,106,30921,112375000000000,139000000000000,139000000000000,0,0,-26625000000000,{},{},2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,0.3671392637,0.1372883856,88,733,69
462,42acfcb7-c7ac-45b8-b5d6-aa91a55fb0c2,Almighty Alpaca #1824,DFL,102,30837,122225000000000,141000000000000,141000000000000,0,0,-18775000000000,{},{},2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,0.374319689,0.1369128777,89,688,69
50,6d5e368f-ccbb-4311-a126-28f8a9c6e99c,Almighty Alpaca #3357,DFL,69,30663,247375000000000,223000000000000,223000000000000,0,0,24375000000000,{},{},36vYPTW8WTRsD6QiZqcJBzGkCu2HHNupEHgBc42sZTYm,0.4137891608,0.1361350398,90,66,69
442,8d4b0dcc-ddbc-467b-82cc-0da8e1e43ebe,Almighty Alpaca #142,DFL,56,30608,272550000000000,184000000000000,184000000000000,0,0,88550000000000,{},{},F7pwJoH9VGbVTG2SkR1QtbnTwVdLHbHfFTGHLoW62Vp,0.4724902813,0.1358891715,91,26,69
433,cf9672e1-f80b-417a-b71b-0fcf1c005821,Almighty Alpaca #578,DFL,99,30222,110950000000000,129000000000000,129000000000000,0,0,-18050000000000,{},{},2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,0.3749828493,0.1341636231,92,677,69
429,a7b4739c-2a93-4a0d-ac44-8dc6a1f52455,Almighty Alpaca #2588,DFL,96,30124,123900000000000,129500000000000,129500000000000,0,0,-5600000000000,{},{},2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,0.3863709124,0.1337255305,93,407,69
659,fc1ec492-399f-48ba-a994-9b23c45141fe,Almighty Alpaca #2648,DFL,58,29778,219500000000000,111000000000000,111000000000000,0,0,108500000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.4907386234,0.1321787954,94,23,69
